tmdb_id,genre_id
1933,18
1933,9648
1933,53
138697,10749
138697,35
138697,18
7446,28
7446,35
184315,28
184315,12
364,28
364,14
44264,18
44264,12
44264,37
83666,35
83666,18
83666,10749
302699,28
302699,35
55721,35
55721,10749
116741,35
630,12
630,10751
630,14
97367,18
97367,80
306819,18
224141,14
224141,35
224141,10402
76285,12
76285,10751
76285,14
3049,35
3049,9648
38050,878
38050,53
38050,10749
65,18
38575,28
38575,12
38575,18
38575,10751
7131,27
7131,12
7131,28
100,35
100,80
388,80
388,18
388,53
2454,12
2454,10751
2454,14
109431,35
109431,80
2034,28
2034,80
2034,18
2034,53
8077,878
8077,28
8077,27
23629,28
23629,14
23629,53
1491,14
1491,18
1491,53
1491,10749
267860,28
267860,80
267860,53
123553,28
123553,12
123553,18
123553,9648
123553,10749
123553,14
755,27
755,28
755,53
755,80
12230,12
12230,16
12230,35
12230,10751
71552,35
788,35
788,18
788,10751
568,18
52449,35
621,10749
140300,28
140300,12
140300,16
140300,35
140300,10751
927,14
927,27
927,35
1091,27
1091,9648
1091,878
22881,18
2675,18
2675,53
2675,878
2675,9648
57214,35
57214,80
274479,18
274479,35
332567,27
332567,18
332567,53
71679,28
71679,27
71679,878
496,35
544,10749
544,35
31011,878
31011,18
31011,10749
31011,14
754,28
754,80
754,878
754,53
10555,16
10555,28
10555,35
10555,10751
82507,27
82507,53
82507,9648
136400,28
136400,35
136400,80
321697,18
321697,36
46529,28
46529,53
46529,878
46529,12
134374,53
134374,80
134374,28
136795,28
136795,35
136795,80
2789,28
2789,878
242,80
242,18
242,53
8961,12
8961,28
8961,35
8961,53
8961,80
50546,10749
50546,35
563,12
563,28
563,53
563,878
7299,28
7299,878
7299,53
9509,28
9509,18
9509,53
9509,80
37834,28
37834,35
7345,18
184,35
184,80
184,10749
122081,18
122081,80
227159,35
290595,28
290595,12
290595,18
1927,18
1927,28
1927,878
235,80
235,18
879,12
879,14
879,35
879,10751
9340,12
9340,35
9340,10751
136797,28
136797,80
136797,18
136797,53
628,27
628,10749
12092,16
12092,12
12092,10751
12092,14
2649,18
2649,53
2649,9648
36586,14
36586,27
36586,28
36586,53
10140,12
10140,10751
10140,14
11253,12
11253,14
11253,878
9480,14
9480,28
9480,80
9480,878
9480,53
193756,28
193756,18
193756,53
193756,10752
834,14
834,28
834,878
834,53
146216,28
146216,35
146216,80
146216,53
152760,10752
152760,18
152760,36
152760,28
75,35
75,14
75,878
11688,12
11688,16
11688,35
11688,10751
11688,14
228161,14
228161,35
228161,16
228161,878
228161,10751
142,18
142,10749
567,18
567,9648
567,53
414,28
414,80
414,14
13811,28
13811,12
13811,18
13811,9648
13811,878
13811,53
159824,16
159824,35
159824,10751
203833,18
4982,18
4982,80
2567,18
27022,14
27022,12
27022,28
27022,35
27022,18
5255,12
5255,16
5255,10751
5255,14
1368,28
1368,12
1368,53
1368,10752
8699,35
22803,18
22803,80
22803,53
11774,12
11774,35
11774,10751
4232,80
4232,27
4232,9648
7551,28
7551,53
7551,878
2493,12
2493,10751
2493,14
2493,35
2493,10749
1018,53
1018,18
1018,9648
23168,80
23168,18
23168,53
4523,35
4523,10751
4523,14
4523,10749
45317,18
9679,28
9679,80
9679,53
10530,12
10530,16
10530,18
10530,10751
133805,18
133805,27
7485,28
7485,18
7485,9648
7485,53
7485,80
5548,28
5548,53
5548,878
188161,35
188161,37
14574,10752
14574,18
325133,35
9444,16
9444,10751
1538,18
1538,80
1538,53
75174,28
75174,18
75174,53
4011,14
4011,35
9802,28
9802,12
9802,53
322,53
322,80
322,18
322,9648
935,18
935,35
935,10752
310131,9648
310131,27
10386,12
10386,16
10386,10751
10386,14
10386,878
4247,35
193610,35
193610,10749
856,14
856,16
856,35
856,80
856,10751
15512,16
15512,10751
15512,12
15512,878
289,18
289,10749
44943,28
44943,878
57165,12
9836,16
9836,35
1624,35
72976,36
72976,18
1584,35
1584,10402
7451,28
7451,12
7451,53
132232,27
3170,16
3170,18
3170,10751
415,28
415,80
415,14
12437,14
12437,28
12437,12
12437,878
12437,53
1996,28
1996,12
1996,14
1996,53
8871,10751
8871,35
8871,14
5876,878
5876,27
5876,53
227306,18
227306,10752
11631,35
11631,10749
20662,28
20662,12
205587,18
14836,16
14836,10751
1452,12
1452,14
1452,28
1452,878
117,80
117,18
117,36
117,53
1735,12
1735,28
1735,14
9532,27
1813,18
1813,27
1813,9648
1813,53
8321,35
8321,18
8321,80
693,35
693,10749
10895,16
10895,10751
59962,28
59962,35
59962,10749
10009,12
10009,16
10009,10751
60308,18
454,18
454,10749
4348,18
4348,10749
8065,18
8065,80
9522,35
9522,10749
27581,28
27581,35
27581,80
298312,27
298312,53
634,35
634,10749
634,18
14306,35
14306,10751
8078,878
8078,27
8078,28
16996,35
9928,16
9928,35
9928,10751
9928,878
35791,28
35791,12
35791,27
35791,878
251,14
251,18
251,53
251,9648
251,10749
277216,18
277216,10402
10693,16
10693,10402
10693,10751
10693,12
10693,14
2770,35
2770,10749
270946,10751
270946,16
270946,12
270946,35
3021,27
3021,53
272693,10749
272693,35
88,18
88,10402
88,10749
11322,36
11322,80
11322,18
11544,16
11544,10751
941,12
941,28
941,35
941,53
941,80
41630,35
41630,10749
9398,35
59961,28
59961,53
1991,28
1991,53
64686,18
64686,28
64686,12
64686,14
186,18
186,53
186,80
186,9648
1830,80
1830,18
1830,53
316727,28
316727,27
316727,53
88751,28
88751,878
88751,12
88751,35
88751,10751
4133,80
4133,18
23827,27
23827,9648
39538,18
39538,53
39538,878
824,18
824,10402
824,10749
2268,12
2268,14
274854,14
274854,28
274854,12
524,18
524,80
2118,80
2118,18
2118,9648
2118,53
7453,12
7453,35
7453,10751
7453,878
9377,35
109421,53
109421,80
109421,18
254320,53
254320,35
254320,18
254320,10749
254320,878
686,18
686,878
686,9648
270487,35
270487,18
270487,9648
2300,16
2300,35
2300,18
2300,10751
2300,14
10882,14
10882,16
10882,10749
10882,10751
72570,18
72570,10749
181886,53
181886,9648
1878,12
1878,18
1878,35
8916,12
8916,16
8916,35
8916,10751
9428,35
9428,18
189,80
189,53
509,10749
509,35
509,18
14756,18
14756,28
14756,36
7737,27
7737,28
7737,878
4547,80
4547,18
4547,53
22971,18
22971,10749
22971,10752
59440,28
59440,18
72331,28
72331,14
72331,27
9740,80
9740,18
9740,53
9740,27
21208,27
21208,53
21208,9648
10198,10749
10198,10751
10198,16
10198,10402
12244,28
12244,12
12244,16
12244,878
12244,53
1701,28
1701,53
1701,80
215,27
48138,28
48138,9648
48138,53
10112,16
10112,35
10112,10751
10112,12
16320,878
16320,28
16320,12
16320,53
40807,35
40807,18
1577,27
1577,28
1577,878
198277,35
198277,10402
198277,10749
198277,18
50456,28
50456,53
50456,12
4553,53
4553,18
49524,14
49524,28
49524,35
49524,80
36648,878
36648,28
36648,27
36648,53
36648,12
36648,14
158011,80
158011,53
40805,28
40805,80
40805,35
1907,18
1907,12
1907,10749
1907,53
869,53
869,878
869,28
869,12
866,18
43347,18
43347,35
43347,10749
345,9648
345,18
9798,28
9798,18
9798,53
261023,80
261023,18
10096,35
10096,14
10096,10749
1581,35
