tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,release_year,original_language,runtime,status,budget,revenue,popularity,vote_average,vote_count,adult
612,tt0408306,Munich,Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,2005-12-22,2005,en,164.0,Released,70000000,130358911.0,9.668761,7.0,706.0,0
3050,tt0118998,Doctor Dolittle,Doctor Dolittle,"A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",He doesn't just talk to the animals!,1998-06-22,1998,en,85.0,Released,71000000,294456605.0,9.439079,5.4,705.0,0
245703,tt2649554,Midnight Special,Midnight Special,A father and son go on the run after the dad learns his child possesses special powers.,He's not like us.,2016-02-18,2016,en,112.0,Released,18000000,6212282.0,12.682927,6.2,705.0,0
12153,tt0381707,White Chicks,White Chicks,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. As punishment, they are forced to escort a pair of socialites to the Hamptons, where they're going to be used as bait for a kidnapper. But when the girls realize the FBI's plan, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from African-American men into a pair of blonde, white women.",They're going deep undercover.,2004-06-23,2004,en,109.0,Released,37000000,113086475.0,7.723341,6.3,704.0,0
222936,tt1243974,Aloha,Aloha,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,Sometimes you have to say goodbye before you can say hello.,2015-05-27,2015,en,105.0,Released,37000000,26250020.0,8.451297,5.2,704.0,0
1370,tt0095956,Rambo III,Rambo III,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",The first was for himself. The second for his country. This time it's to save his friend.,1988-05-24,1988,en,102.0,Released,63000000,189015611.0,11.624866,5.7,703.0,0
36685,tt0073629,The Rocky Horror Picture Show,The Rocky Horror Picture Show,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'.",A Different Set Of Jaws.,1975-08-14,1975,en,100.0,Released,1200000,112892319.0,8.699428,7.4,703.0,0
49021,tt1448755,Killer Elite,Killer Elite,"Based on a shocking true story, Killer Elite pits two of the world’s most elite operatives—Danny, an ex-special ops agent and Hunter, his longtime mentor—against the cunning leader of a secret military society. Covering the globe from Australia to Paris, London and the Middle East, Danny and Hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",May the best man live.,2011-09-23,2011,en,116.0,Released,66000000,57777106.0,8.046632,6.1,703.0,0
51739,tt1568921,The Secret World of Arrietty,借りぐらしのアリエッティ,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",Do not be seen by humans. That's been the law of children of the underfloor.,2010-07-16,2010,ja,94.0,Released,37000000,145570827.0,8.636052,7.4,701.0,0
100241,tt1418377,"I, Frankenstein","I, Frankenstein","200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.","In the battle between good and evil, an immortal holds the key",2014-01-22,2014,en,92.0,Released,65000000,71154592.0,9.415817,5.1,701.0,0
3597,tt0119345,I Know What You Did Last Summer,I Know What You Did Last Summer,"As they celebrate their high school graduation, four friends are involved in a hit-and-run accident when their car hits and apparently kills a pedestrian on an isolated roadway. They dispose of the body and vow to keep the incident a secret, a year later somebody starts sending them letters bearing the warning ""I Know What You Did Last Summer.""","If you're going to bury the truth, make sure it stays buried.",1997-10-17,1997,en,100.0,Released,17000000,125586134.0,7.417157,5.6,698.0,0
308639,tt3850214,Dope,Dope,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.",It's hard out here for a geek.,2015-06-19,2015,en,103.0,Released,700000,17986781.0,7.948581,7.2,698.0,0
10066,tt0397065,House of Wax,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,Prey. Slay. Display,2005-04-30,2005,en,113.0,Released,40000000,68766121.0,7.163099,5.5,696.0,0
13363,tt0756683,The Man from Earth,The Man from Earth,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,2007-06-10,2007,en,87.0,Released,0,0.0,9.29906,7.7,696.0,0
313922,tt4062536,Green Room,Green Room,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,One way in. No way out.,2016-04-15,2016,en,95.0,Released,5000000,3220371.0,8.4702,6.7,696.0,0
406,tt0113247,La Haine,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",Three Young Friends... One Last Chance.,1995-05-31,1995,fr,98.0,Released,3000000,0.0,12.108196,7.9,695.0,0
1574,tt0299658,Chicago,Chicago,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,"If You Can't Be Famous, Be Infamous",2002-12-26,2002,en,113.0,Released,45000000,306776732.0,13.325347,6.9,695.0,0
147773,tt1727388,The Way Way Back,The Way Way Back,"Over the course of his summer break, a teenager comes into his own thanks in part to the friendship he strikes up with one of the park's managers.",We've all been there.,2013-06-06,2013,en,103.0,Released,4600000,23198652.0,10.342737,7.1,695.0,0
1598,tt0101540,Cape Fear,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",There is nothing in the dark that isn't there in the light. Except fear.,1991-11-15,1991,en,128.0,Released,35000000,182300000.0,10.302735,7.0,692.0,0
