person_id,name,gender,profile_path
14592,BD Wong,2,/o8JUV37KWNorHOabp3zyD756oE3.jpg
20906,Peter Michael Goetz,2,/a2hLcCidETgwlVyQnYy4kXVKUcn.jpg
54348,Kate McGregor-Stewart,1,/vsvdAmMZgX85AvnVFd4jigOUipZ.jpg
209,Jane Adams,1,/HbQfL01xmV1psnh0WvldIBzDg3.jpg
26510,Eugene Levy,2,/69IBiDjU1gSqtrcGOA7PA7aEYsc.jpg
24358,Lori Alan,1,/mNfJWzuaKgkIaK7CuirXOMosd2h.jpg
37,Alan Silvestri,2,/chEsfnDEtRmv1bfOaNAoVEzhCc6.jpg
5506,Elliot Davis,2,
17698,Nancy Meyers,1,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg
26160,Albert Hackett,2,
56106,Charles Shyer,2,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg
68755,Adam Bernardi,2,
1158,Al Pacino,2,/ks7Ba8x9fJUlP9decBr6Dh5mThX.jpg
380,Robert De Niro,2,/lvTSwUcvJRLAJ2FB5qFaukel516.jpg
5576,Val Kilmer,2,/AlhPeiH8R4reMNGNQ9ag1FPbuW9.jpg
10127,Jon Voight,2,/c7BvyqlvqDkfkFqSBUCiR21fvTh.jpg
3197,Tom Sizemore,2,/soINOuacuiThRb2LyPD4tTWve7C.jpg
6200,Diane Venora,1,/3k7w5Y7gTAxN1JML7jhN8F8rVrS.jpg
15851,Amy Brenneman,1,/xC408loYq7tQlkpS5YH68SoaDND.jpg
15852,Ashley Judd,1,/3bgmRDt02iGFVjhqCqstVyEeiwG.jpg
524,Natalie Portman,1,/1oEP6OyYZgyLubgJXifx2GO78c7.jpg
15854,Ted Levine,2,/7O3vgqgicfNeGr3leC0qB074fjX.jpg
119232,Tom Noonan,2,/cpINV4Q8IeVgSLyKz9ldzzAGr5n.jpg
31004,Tone Loc,2,/o940ZhEYQYrOJdhRnmPrYoc9iOq.jpg
5587,Hank Azaria,2,/3vIdbP73nKnKpMAcgGWoALPF2JO.jpg
15853,Wes Studi,2,/2b1hfAOoVjU7HoSbyHzGjl8DWs1.jpg
638,Michael Mann,2,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg
1254,Art Linson,2,/dEtVivCXxQBtIzmJcUNupT1AB4H.jpg
5581,Elliot Goldenthal,2,/mr1rr5bQySCwp564E1Ag363SgLH.jpg
11099,Dante Spinotti,2,/vIb3GU52BvSIQh1MXZRFDVRnqsm.jpg
15840,Pasquale Buba,2,
15841,William Goldenberg,0,/eOgoea8HbZt2TfLn0tDNI1TepSN.jpg
15842,Dov Hoenig,0,
1047,Tom Rolf,2,
3,Harrison Ford,2,/7CcoVFTogQgex2kJkXKMe8qHZrC.jpg
15887,Julia Ormond,1,/GYnXYOvBhzPfNmTpeIiO0XRTUu.jpg
17141,Greg Kinnear,2,/agOTbOC76I6rC7TPuCTquvngXRu.jpg
4301,Angie Dickinson,1,/tseegCkV3HvsXKIbcFuXHdzG4o2.jpg
12957,Nancy Marchand,1,/d9DASq3XmUsyfzSrATbAAOY7yn1.jpg
8937,John Wood,2,/bWt4JT9eGxFtu3q0iCAKFtNv5XK.jpg
16554,Richard Crenna,2,/nWtMvMnLqGjlIGWNXjshgxsHDih.jpg
34485,Lauren Holly,1,/bWQsB6ueNNkygxCiIxyKznQAiOK.jpg
13314,Dana Ivey,1,/12mxrB5iT1TAwCzIZvmcFGLBQ52.jpg
20234,Fanny Ardant,1,/ealXbfCd6oCubRDA3PMgKlq6xq.jpg
73827,Patrick Bruel,0,/1s6eR0MEbxulZPUteVnHxpwXF4F.jpg
13242,Paul Giamatti,2,/rX4LRmkYshMRfQ6lVbeZVAfqVKI.jpg
1163,Miriam Colón,1,/vNKUyJKVIvAmXT6pv0vWrZXazlS.jpg
138242,Elizabeth Franz,1,/7VqGTZ6wJtkUQYV2TdVxUxoEq49.jpg
62531,Valérie Lemercier,1,/hPUIFiIfMaQvpNmPvAVDxOQuZBS.jpg
2226,Sydney Pollack,2,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg
70846,Barbara Benedek,1,
491,John Williams,2,/2Ats98PB1SH2yfEPikiLdhRuXZm.jpg
10640,Fredric Steinkamp,2,
2997,Scott Rudin,2,/zR8sdlGblto6dneAr2mckTowwEl.jpg
5490,David Rubin,2,/x22xlcu30x5s8jelEIkJVBeLHrn.jpg
1718,Brian Morris,2,
11056,David Rayfiel,2,
10199,Peter Robb-King,2,
53283,Jonathan Taylor Thomas,2,/1S8DpfNv6iiQRuKFPtb5u6sCQ5G.jpg
51214,Brad Renfro,2,/t97fjAtDrBHTv9ABwwwHDzdKtpo.jpg
38581,Rachael Leigh Cook,1,/cotGJui5H2Te2ThYERndc3DOVOm.jpg
8316,Michael McShane,2,/aCiOde1ijVveYObBCxtWWRi9UP9.jpg
87007,Amy Wright,1,/mEV42JRtrTTZg92GjyjRkQSXpsn.jpg
57448,Eric Schweig,2,/9APhQ9Iw9eC3VMRYIJTOnChboDQ.jpg
102313,Tamara Mello,1,/xYEvziWM0OpyktDS0FzbRzviSQa.jpg
2075,David Loughery,2,
7775,Stephen Sommers,2,/50bI0PixdzrD5Mdygl4wrpxHCiH.jpg
18357,Peter Hewitt,2,/wP8EyttEB2xca7udNERQb07eAda.jpg
72225,Mark Twain,2,/7EBjfNQEjJvoJAlar3uUm2pueog.jpg
